date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum,weekly_increase
6/12/2021,Victoria,VIC,1060,128849,6,1387,56337,15522844,1060,128849,110968,11,310,5,45,3,19,3106,10751059,83
25/12/2021,Victoria,VIC,2108,155739,6,1499,83456,16937447,2108,155739,136676,-36,361,-4,71,2,42,0,11217189,83
28/04/2023,South Australia,SA,2665,903240,6,1548,NA,0,2665,0,0,0,0,0,0,0,0,0,0,83
3/08/2022,Queensland,QLD,6420,1534789,6,1601,12878,8216664,6420,1534789,2210,-27,788,-6,22,0,0,0,11647145,83
17/01/2022,Victoria,VIC,13117,475605,6,1707,49698,18432608,13117,475605,294076,115,1229,7,129,3,38,29759,12131999,83
23/02/2022,New South Wales,NSW,8912,1096649,6,1828,35993,28516047,8912,1096649,2802,-47,1246,-2,69,-2,29,33723,16779010,83
25/02/2022,New South Wales,NSW,7480,1112348,6,1846,31718,28585420,7480,1112348,2802,-67,1144,5,64,1,28,29522,16838450,83
28/02/2022,New South Wales,NSW,5822,1131123,6,1870,19751,28658490,5822,1131123,2802,-10,1136,-3,55,-5,16,5720,16890143,83
15/03/2022,New South Wales,NSW,10657,1300770,6,1958,30800,29139497,10657,1300770,2802,27,1032,-9,38,4,19,28268,17197852,83
18/03/2022,New South Wales,NSW,19968,1371165,6,1974,38006,29273985,19968,1371165,2802,24,1060,-2,32,-2,15,26401,17275711,83
4/04/2022,New South Wales,NSW,15504,1715188,6,2099,46629,30087665,15504,1715188,2802,63,1418,6,56,-1,18,4582,17577002,83
6/02/2022,Victoria,VIC,6919,884841,6,2185,20624,19063678,6919,884841,294076,-35,652,-7,73,-3,28,41491,13473301,83
17/04/2022,New South Wales,NSW,9647,1937226,6,2251,21136,30638085,9647,1937226,2802,36,1527,-8,64,-2,18,2176,17748686,83
8/05/2022,New South Wales,NSW,8891,2365718,6,2516,28393,31270656,8891,2365718,2802,23,1504,3,57,-2,17,5868,18014475,200
8/03/2022,Victoria,VIC,6994,1091012,6,2623,14471,19613443,6994,1091012,294076,-24,203,0,29,-3,4,22483,14446870,117
1/04/2022,Victoria,VIC,10275,1292898,6,2770,22934,20005579,10275,1292898,294076,-2,310,-2,12,-1,3,13696,14893021,117
15/08/2022,New South Wales,NSW,5417,3342373,6,4177,18760,34231103,5417,3342373,2802,30,2178,1,59,0,16,0,19210275,117
